RecordID,ClassID,UserID,LessonID,LessonAttempt,TotalTime,XML,Q1Data,Q2Data,Q3Data,Q4Data,Q5Data,Q6Data,Q7Data,Q8Data,Q9Data,Q1Duration,Q2Duration,Q3Duration,Q4Duration,WritingTime,Q6Duration,Q7Duration,Q8Duration,Q9Duration,test,WritingTime_original,WritingTime_log,WritingTime_scale
1,formal,formal5_02,lesson2,1,379.071,Lesson2-Flood.xml,Next,Arousal8_Pleasant8,2.0,3.0,"Floods are one of the most common natural disasters. Predicting a flood can be difficult because of all of the factors that can cause a flood. Snow cover, Human error and Heavy rain can all cause floods. Hopefully as time progresses, scientists can predict why floods happen with more accuracy.",4.0,6.0,3.0,3.0,72.531,7.484,19.874,8.031,177.328,6.75,23.859,35.843,15.156,pretest,177.328,5.183624551238632,0.07415320804240719
2,formal,formal5_02,lesson3,1,358.535,Lesson3-Hurricane.xml,Next,Arousal9_Pleasant5,1.0,1.0,The two most destructive hurricanes to ever hit the United States were named Andrew and Katrina. Hurricane Andrew made landfall in 1992 with winds of 175 miles per house. Katrina made landfall with winds of only 120 miles per hour. Hurricane Katrina caused more damage despite being weaker then Andrew. This is because the path of Katrina took it through New Orleans.,6.0,2.0,1.0,6.0,119.062,4.593,4.999,3.89,119.484,3.0,28.343,20.14,40.203,pretest,119.484,4.791516964031667,0.04979080273291569
3,formal,formal5_02,lesson9,1,452.599,Lesson9-Job.xml,Next,Arousal9_Pleasant5,1.0,5.0,"The United States job market has deteriorated. However, that deterioration is easy to misinterpret. Since the 1960's technology has evolved in such a way that factory workers aren't as needed as they used to be. Computers do most of the work. So people that used to do that sort of work are now competing with people in other jobs for even less money. The more jobs that disappear the more competition there will be for work and the more the economy will deteriorate.",3.0,4.0,5.0,2.0,71.531,6.796,2.687,3.828,202.812,4.609,97.828,25.796,24.296,posttest,202.812,5.317198000311325,0.08488641350722777
4,formal,formal5_02,lesson10,1,395.415,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant5,2.0,3.0,The butterfly and the moth have a lot of things in common. Both can fly and have a four stage life cycle. But they also have several differences as well. The butterfly prefers to be active during the day while the moth prefers the night. The butterfly usually has bright colorful wings and the moth is more bland colored. They also both form a type of cocoon. The butterfly usually makes his on a tree branch and the moth usually keeps it hidden in the leaves of the tree.,3.0,1.0,4.0,6.0,73.031,6.078,4.078,3.89,227.796,3.718,22.093,21.078,21.031,posttest,227.796,5.432830776835339,0.09540903182982537
5,formal,formal16_02,lesson2,1,537.568,Lesson2-Flood.xml,Next,Arousal7_Pleasant3,2.0,3.0,Flood is one of the natural disaster that creates heavy toll on human life.it comes only second to fire.Deep snow and human error are the reasons behind flooding.Deep snow along with rain and sudden warmer weather leads to heavy flooding.The consequences are beyond any limit.Till date scientist failed to predict floods.,3.0,4.0,5.0,4.0,27.437,14.343,19.828,6.968,377.781,7.625,6.765,21.375,14.875,pretest,377.781,5.936958201659017,0.15857885688245107
6,formal,formal16_02,lesson3,1,566.253,Lesson3-Hurricane.xml,Next,Arousal8_Pleasant2,1.0,4.0,"Hirricane Andrew and Hurricane katrina were two of the most destructive hurricanes to hit United States causing heavy damage to the life and property worth 25 billion and 81 billion respectively.Katrina caused more damage though Andrew was the strongest.With a category 5, it made its presence in Homestead, Florida killing 26 people whereas katrina strike in Mississippi and Louisiana coast killing more than 1800 people.",5.0,5.0,4.0,5.0,17.64,11.562,16.515,13.562,433.593,6.359,7.046,5.671,15.031,pretest,433.593,6.074409960927773,0.18208543604594843
8,formal,formal16_02,lesson10,1,1344.319,Lesson10-Butterfly.xml,Next,Arousal7_Pleasant9,5.0,4.0,"Butterflies and moth have a lot of similarity.They both perform same metamorphosis cycle and are in the same category of insects with head, thorax, abdomen and tongue that uncoils for feeding.they also differ a lot.Butterflies are diurnal with thick antennas whereas moths are nocturnal with haired one.Their Pupa stages are different during metamorphosis.",4.0,5.0,5.0,5.0,240.078,28.328,7.562,5.5,982.0,5.25,28.812,7.796,7.203,posttest,982.0,6.890609120147166,0.4130603618560982
9,formal,formal4_03,lesson2,1,364.428,Lesson2-Flood.xml,Next,Arousal5_Pleasant7,2.0,3.0,"It is a natural event or occurrence where a piece of land or area that is usually dry land, suddenly gets submerged under water. Floods can also occur in rivers when the flow rate exceeds the capacity of the river channel, particularly at bends or meanders in the waterway. Floods often cause damage to homes and businesses if they are in the natural flood plains of rivers. Scientists know more about when floods occur and so.",5.0,4.0,5.0,4.0,152.703,6.124,5.531,4.0,146.625,5.296,2.906,11.046,8.937,pretest,146.625,4.994675274517526,0.06122189398706321
10,formal,formal4_03,lesson3,1,480.927,Lesson3-Hurricane.xml,Next,Arousal5_Pleasant9,2.0,2.0,"Hurricane Andrew was much more powerful thank Katrina, but Katrina happened to hit the sweet spot. Andrew moved through Florida and caused some 45 Billion or so in today's dollars worth of Damage. Katrina caused around 80 billion. Most of that damage came from flood waters and not the winds. If Andrew hit the same spot as Katrina I promise you that the damage would have been in excess of 100 Billion; It was a Category 5 Hurricane.",3.0,5.0,5.0,5.0,264.765,3.171,7.109,7.234,112.453,4.64,9.843,26.796,24.015,pretest,112.453,4.731388654243353,0.04682952633897622
11,formal,formal4_03,lesson9,1,874.319,Lesson9-Job.xml,Next,Arousal6_Pleasant9,5.0,3.0,Technology has caused great shifts in job market. Due to mobility production jobs have moved from us to countries where wages are low. Invention of machines have decreased man power. This high rate of unemployment has decreased wages. Middle level jobs disappear as a result of ways technological gains are distributed. the lack of the way to spread some of the financial gains from technology to work force haunts economy.,5.0,4.0,5.0,5.0,228.093,4.578,7.234,3.874,540.109,4.859,18.64,28.109,17.453,posttest,540.109,6.293620737295434,0.22694723612799317
