thinklet_id,problem_name,created_by,notify_to,created_at,annotation_text,relating_to_self,comment_answer,comment_process
218675,School Night Sleep,251612,251347,5/7/21 20:42,I like how your video is organized,0,0,0
218684,School Night Sleep,251344,251356,5/7/21 20:44,Nice Job talking so clearly bro ,0,0,0
218676,School Night Sleep,251614,251344,5/7/21 20:43,you got it correct good job,0,1,0
216905,Chicken Farmer,251612,251615,4/26/21 21:21,I like how your voice is clear,0,0,0
216904,Chicken Farmer,251344,251612,4/26/21 21:21,Good Job orginazing it,0,0,0
218672,School Night Sleep,251333,251364,5/7/21 20:44,Good job but you didn't show how you got the answer. yicks,0,0,0
218678,School Night Sleep,251333,251359,5/7/21 20:47,Yah your voice was Laggy,0,0,0
218683,School Night Sleep,251333,251613,5/7/21 20:49,"I like it how your organized and your voice is loud and clear.
10/10 Great job",0,0,0
217299,Chicken Farmer,251612,251356,4/26/21 21:22,good job explaining it  ,0,0,0
216901,Chicken Farmer,251335,251341,4/26/21 21:22,I like your work and your talent.,0,0,0
218979,School Night Sleep,251333,251347,5/7/21 20:50,I think you posted your second video umm ok,0,0,0
216895,Chicken Farmer,251333,251353,4/26/21 21:22,I like the way you explained your answer good job ,0,0,0
218674,School Night Sleep,251333,249349,5/7/21 20:51,Your lagging a lot I think you bring your chromebook to the crome hospital i think thats what its called but great job you did great.,0,0,0
218669,School Night Sleep,251333,251353,5/7/21 20:52,I like it how you showed your work and how you did so ill give you a 100/10 woohoo great job,0,0,0
216893,Chicken Farmer,251335,251347,4/26/21 21:24,I like how you work hard and how you organized.,0,0,0
217444,Spending Allowance,249899,249417,4/27/21 17:14,"I like how you subtracted 12 from 20 and got 8, then added 8 to get 16, but your final answer was -4.",0,0,1
217940,Harold's Apples,251028,251025,5/3/21 20:11,I like how you add the numbers.,0,0,1
218085,Harold's Apples,251028,251019,5/3/21 20:14,i like what you did but that is all you did and i like it,0,0,0
218091,Harold's Apples,251028,251044,5/3/21 20:12,You did a great job adding the numbers.,0,0,1
215770,Malachi's Hike,251019,251044,4/27/21 19:40,I like the way you I like the way you made it a small video. I hadn't thought of that its cool :). Why did you make a triangle for a Mountain,0,0,0
217253,In and Out,251019,251028,4/27/21 19:55,Next time maybe you can try to make it shorter. I hadn't thought of making the food props,0,0,0
215766,Malachi's Hike,251019,251025,4/27/21 19:46,Why did you talk randomly. I like the way you drawed the stick figure and did the math problem.,0,0,0
217522,Spending Allowance,168426,249904,4/27/21 20:01,i like how you used boxes for your work.,0,0,0
217522,Spending Allowance,168668,249904,4/27/21 20:02,I like how you had 20 then subtracted 12 and got 8.,0,0,1
217518,Spending Allowance,168418,168723,4/27/21 20:02,I like the way you organized your work!,0,0,0
217518,Spending Allowance,168426,168723,4/27/21 20:02,i like how you did your work.,0,0,0
218428,School Night Sleep,251459,251441,5/5/21 16:48,Good job but I dont think you need to go down so your were right when you did the 2.4 you got it tho,0,1,0
217519,Spending Allowance,249904,167126,4/27/21 20:03,I like how you used arrows.,0,0,1
218214,School Night Sleep,251445,251478,5/5/21 16:49,I liked the way you explained it because it was short and simple but still good.I also like the way your voice sounded very sussy.,0,0,0
218207,School Night Sleep,251441,251459,5/5/21 16:48,It was great because I got the same answer. I also like how organized you are,1,1,0
217517,Spending Allowance,168426,168418,4/27/21 20:04,I like how you organized your work.,0,0,0
218212,School Night Sleep,251478,251445,5/5/21 16:50,I like how you set up your data and calculated the mean. Great job!,0,0,1
218198,School Night Sleep,251472,251465,5/5/21 16:50,"GOOD JOB I LIKE HOW YOU SOLVED IT CAUSE YOU DID IT LIKE NO ONE WOULD DO SO SMART AND INTELLIGENT VERY NICE

",0,0,0
218212,School Night Sleep,251451,251445,5/5/21 16:50,You sorted the data nicely and presented your work clearly.,0,0,1
217524,Spending Allowance,168418,249903,4/27/21 20:04,I like how you organized your work!,0,0,0
217518,Spending Allowance,168668,168723,4/27/21 20:04,I like the way you put different sides ,0,0,0
218208,School Night Sleep,251447,251467,5/5/21 16:51,"You focused on the relevance of the estimate to the problem, which is important for understanding the context.",0,0,1
218214,School Night Sleep,251445,251478,5/5/21 16:51,GOOD JOB SUSSY ENGI!!!!!!!,0,0,0
217525,Spending Allowance,249904,168364,4/27/21 20:05,I like the way you but lost and left amount,0,0,0
218215,School Night Sleep,251463,251451,5/5/21 16:51,You correctly identified the process for finding the mean. Great job!,0,0,1
218215,School Night Sleep,251445,251451,5/5/21 16:52,yes,0,0,0
217516,Spending Allowance,168426,168668,4/27/21 20:06,"I like how you solved it.
",0,0,0
218200,School Night Sleep,251453,251474,5/5/21 16:51,"You solved the problem differently, but your final answer was correct.",0,1,1
218199,School Night Sleep,251470,251456,5/5/21 16:52,I like how you wrote out all the numbers and used lines and circles to help keep track of your work.,0,0,1
218208,School Night Sleep,251461,251467,5/5/21 16:53,I appreciate the thorough explanation and the use of fundamental concepts in your solution.,0,0,1
218205,School Night Sleep,251477,251453,5/5/21 16:54,"I still don't really know the answer to this problem, but I think you organized your graph neatly and I like how you explained it. I can't judge you if you were correct because I don't even know what the answer is.",1,1,0
217549,Spending Allowance,168395,251122,4/27/21 21:07,You were supposed to find out how much he lost.,0,0,1
216116,"Money, Money, Money",168694,168690,4/21/21 17:26,"I like the way you spread out each problem I also like the ending when u said ""boom bam bye bye"".",0,0,0
217552,Spending Allowance,168395,168753,4/27/21 21:06,"""I like how you did 3 multiplied by 2 in a similar way as I did.""",1,0,1
216123,"Money, Money, Money",168745,168726,4/21/21 17:26,I like the way you organized your work.,0,0,0
217559,Spending Allowance,168669,168395,4/27/21 21:26,You subtracted the amounts in a clear and logical manner.,0,0,1
217544,Spending Allowance,168410,168746,4/27/21 21:27,I like how you added 8 and 8 together.,1,0,1
216134,"Money, Money, Money",249899,249417,4/21/21 17:28,I like how you added 30 and 83 to get 113.,0,0,1
216123,"Money, Money, Money",249417,168726,4/21/21 17:28,I like how we both found -20.75 multiplied by 4 to be -83.,1,0,1
217555,Spending Allowance,249409,168688,4/27/21 21:27,I like the way you explained and spoke,0,0,0
216118,"Money, Money, Money",168682,168672,4/21/21 17:29,You explained well and caught the mistake in changing 113 to -113. Great job!,0,0,1
218459,School Night Sleep,251484,251360,5/5/21 17:28,I really like your table and your strategies good job!,0,0,0
216115,"Money, Money, Money",168665,168652,4/21/21 17:30,"You used 25.25 for one of the deposits, which affected the final result.",0,1,1
216130,"Money, Money, Money",168722,168682,4/21/21 17:30,"You added 30 to 20.75 before multiplying by 4, which was a good approach.",0,0,1
216123,"Money, Money, Money",168438,168726,4/21/21 17:30,I like the way you put your work  together,0,0,0
217550,Spending Allowance,168725,251123,4/27/21 21:28,I like how you used drawing and your addition is correct.,0,0,1
217570,Spending Allowance,168446,168452,4/27/21 21:28,what i did was i broke the numbers into smaller number.,1,0,0
216124,"Money, Money, Money",168672,168715,4/21/21 17:31,I like the way you how you organize it,0,0,0
218466,School Night Sleep,251345,251339,5/5/21 17:28,I liked yours cus it shows your work and I got the same answer. ,1,1,0
217543,Spending Allowance,168410,168713,4/27/21 21:28,I like the way you explained why you thought he lost and gained money. ,0,0,0
217555,Spending Allowance,168696,168688,4/27/21 21:28,Next time maybe you put in a $ in your problems,0,0,0
217542,Spending Allowance,168663,168669,4/27/21 21:28,You multiplied 3 by 2 well.,0,0,1
216197,"Money, Money, Money",168690,168416,4/21/21 17:35,"You added a positive with a negative instead of subtracting them, which resulted in an incorrect answer. You should have subtracted -30 from -83 to get -113, then subtracted that from 76 to get -37.",0,0,1
217553,Spending Allowance,168669,168725,4/27/21 21:28,My strategy is like yours because I also added to find the total amount of money he spent on the things from 7-11.,1,0,0
216116,"Money, Money, Money",249410,168690,4/21/21 17:33,I like the way how you multiply and add,0,0,0
217559,Spending Allowance,249413,168395,4/27/21 21:28,I like the way you highlighted the things you were talking about ,0,0,0
217551,Spending Allowance,249409,168731,4/27/21 21:29,Next time maybe you can speak more,0,0,0
217548,Spending Allowance,168696,168673,4/27/21 21:29,Next time maybe you can have more $'s in your problems,0,0,0
218470,School Night Sleep,251484,251486,5/5/21 17:30,I really like the strategies that you used. good job!,0,0,0
218478,School Night Sleep,251345,251348,5/5/21 17:30,I like yours because it is so organized and I got the same answer.,1,0,0
218465,School Night Sleep,251345,0,5/5/21 17:32,ty ty ty,0,0,0
217539,Spending Allowance,168663,249414,4/27/21 21:30,You multiplied 2 by 3 just like I did.,1,0,1
217542,Spending Allowance,168410,168669,4/27/21 21:30,I like the way you highlighted what you were talking about. ,0,0,0
217546,Spending Allowance,249413,168747,4/27/21 21:30,I appreciate your method of multiplying 2 and 3.,1,0,1
217541,Spending Allowance,168669,168416,4/27/21 21:30,You didn't include the $8 Juan earned in your solution.,0,0,1
217538,Spending Allowance,168747,249409,4/27/21 21:30,I like how you organized it but I respectfully disagree with your answer.,0,1,0
217544,Spending Allowance,168696,168746,4/27/21 21:30,Next time maybe you could use your highlighter to draw attention,0,0,0
217555,Spending Allowance,168731,168688,4/27/21 21:30,I like how you added 5+1 because I did not think about doing that.,1,0,1
216178,"Money, Money, Money",168418,168723,4/21/21 19:34,I like the way you grouped your work together.,0,0,0
217537,Spending Allowance,168669,168748,4/27/21 21:31,I like the way you labeled your steps in chronological order.,0,0,0
216174,"Money, Money, Money",168668,167126,4/21/21 19:35,"I like the way you did not put the $ 
",0,0,0
217547,Spending Allowance,249409,168663,4/27/21 21:31,I like the way you spoke and explained,0,0,0
217546,Spending Allowance,168410,168747,4/27/21 21:31,I like the way you organized your work. ,0,0,0
217538,Spending Allowance,168725,249409,4/27/21 21:31,I hadn't thought of doing it that way wow. That right I think in some ways.,1,0,0
216174,"Money, Money, Money",168418,167126,4/21/21 19:37,I like the way you used arrows to show your work.,0,0,0
217561,Spending Allowance,168446,251144,4/27/21 21:31,I did the same thing but wrote it differently but the answer.,1,1,0
217537,Spending Allowance,168696,168748,4/27/21 21:31,Next time maybe you could use a highlighter to draw attention and use $'s in your math problems,0,0,0
217537,Spending Allowance,249413,168748,4/27/21 21:32,Next time maybe you can highlight the thing your talking about ,0,0,0
217564,Spending Allowance,168377,168439,4/27/21 21:32,i like the way you did your math and you got the answer ,0,0,0
217559,Spending Allowance,168747,168395,4/27/21 21:32,I like how you talked clearly.,0,0,0
217565,Spending Allowance,168444,168446,4/27/21 21:38,I like the way you explained how you got your answer,0,0,0
216201,"Money, Money, Money",168696,168370,4/21/21 20:46,Next time maybe you can do the video again but with no background noises,0,0,0
217575,Spending Allowance,168377,168444,4/27/21 21:39,i like how you multiply and show your work and I did not multiply and we got the same anwer,1,1,0
216195,"Money, Money, Money",168669,249405,4/21/21 20:47,You didn't address the number 76 from the initial problem you worked on.,0,0,1
217560,Spending Allowance,168444,168442,4/27/21 21:39,I like the  way you explained your answer,0,0,0
216193,"Money, Money, Money",249409,168395,4/21/21 20:46,i agree!,0,0,0
217576,Spending Allowance,168435,168382,4/27/21 21:42,I think you did a really good job on solving the problem keep up the good work.,0,0,0
216203,"Money, Money, Money",168410,168746,4/21/21 20:47,Next time maybe you can explain your steps more clearly like not sound distracted. ,0,0,0
217576,Spending Allowance,168441,168382,4/27/21 21:45,I think this is a really good job this would really be helpful,0,0,0
216201,"Money, Money, Money",249409,168370,4/21/21 20:47,i agree,0,0,0
216192,"Money, Money, Money",168696,168713,4/21/21 20:47,Next time maybe you can use the highlighter to draw attention,0,0,0
217581,Spending Allowance,168441,168431,4/27/21 21:46,this will really be helpful good job.,0,0,0
217580,Spending Allowance,168382,168441,4/27/21 21:45,I like how you did it because you put the answer the amount you spent.,0,0,0
216193,"Money, Money, Money",249413,168395,4/21/21 20:48,"I hadn't thought of subtrating the withdraw
",1,0,0
217567,Spending Allowance,168382,168451,4/27/21 21:47,I like how you did your answer in parts.,0,0,0
