thinklet_id,problem_name,created_by,notify_to,created_at,annotation_text,relating_to_self,comment_answer,comment_process,count_nChar,count_nWords,contain_question,contain_plan,contain_addTransition,contain_advTransition,contain_causalTransition,contain_seqTransition,count_nNouns,count_nPronouns,count_nVerbs,count_nAdj,count_nAux,count_nCconj,count_nPunct,count_nSym,count_nFPP,contain_same,contain_answer,contain_correct,count_nPositive,count_nNegative
218675,School Night Sleep,251612,251347,5/7/21 20:42,I like how your video is organized,0,0,0,34,7,0,0,1,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,1,
218684,School Night Sleep,251344,251356,5/7/21 20:44,"Nice Job talking so clearly bro 
 ",0,0,0,34,6,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,
218676,School Night Sleep,251614,251344,5/7/21 20:43,you got it correct good job,0,1,0,27,6,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,0,1,2,
216905,Chicken Farmer,251612,251615,4/26/21 21:21,I like how your voice is clear,0,0,0,30,7,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,2,
216904,Chicken Farmer,251344,251612,4/26/21 21:21,Good Job orginazing it,0,0,0,22,4,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
218672,School Night Sleep,251333,251364,5/7/21 20:44,Good job but you didn't show how you got the answer. yicks,0,0,0,58,12,0,0,0,1,0,0,3,2,2,1,1,1,1,0,1,0,1,0,1,
218678,School Night Sleep,251333,251359,5/7/21 20:47,Yah your voice was Laggy,0,0,0,24,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,,1
218683,School Night Sleep,251333,251613,5/7/21 20:49,"I like it how your organized and your voice is loud and clear.
10/10 Great job",0,0,0,78,16,0,0,1,0,0,0,2,4,1,4,1,2,1,0,1,0,0,0,3,1
217299,Chicken Farmer,251612,251356,4/26/21 21:22,good job explaining it  ,0,0,0,24,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
216901,Chicken Farmer,251335,251341,4/26/21 21:22,I like your work and your talent.,0,0,0,33,7,0,0,1,0,0,0,2,3,1,0,0,1,1,0,1,0,0,0,3,
218979,School Night Sleep,251333,251347,5/7/21 20:50,I think you posted your second video umm ok,0,0,0,43,9,0,1,0,0,0,1,2,3,2,2,0,0,0,0,1,0,0,0,,
